message_index	start_time	timestamp	calc_duration	total_elapsed_time	total_timer_time	length_type	swim_stroke	total_strokes	avg_speed	avg_swimming_cadence	avg_heart_rate
0	2026-06-05 18:20:41 CST	1149636041	0	36.94	36.94	1	1	16.00	0.62	26.00	81.0
1	2026-06-05 18:21:18 CST	1149636041	0	36.25	36.25	1	1	16.00	0.63	26.00	101.0
2	2026-06-05 18:21:54 CST	1149636041	0	36.69	36.69	1	1	14.00	0.62	23.00	109.0
3	2026-06-05 18:22:31 CST	1149636041	0	39.44	39.44	1	1	16.00	0.58	24.00	109.0
4	2026-06-05 18:23:10 CST	1149636041	0	35.19	35.19	1	1	14.00	0.65	24.00	114.0
5	2026-06-05 18:23:45 CST	1149636041	0	38.75	38.75	1	1	16.00	0.59	25.00	116.0
6	2026-06-05 18:24:24 CST	1149636041	0	37.69	37.69	1	1	15.00	0.61	24.00	107.0
7	2026-06-05 18:25:02 CST	1149636041	0	38.62	38.62	1	1	16.00	0.59	25.00	104.0
8	2026-06-05 18:25:41 CST	1149636041	0	37.88	37.88	1	1	15.00	0.60	24.00	107.0
9	2026-06-05 18:26:18 CST	1149636041	0	36.75	36.75	1	1	16.00	0.62	26.00	112.0
10	2026-06-05 18:26:55 CST	1149636041	0	35.50	35.50	1	1	15.00	0.64	25.00	106.0
11	2026-06-05 18:27:31 CST	1149636041	0	37.00	37.00	1	1	16.00	0.62	26.00	113.0
12	2026-06-05 18:28:08 CST	1149636041	0	36.75	36.75	1	1	15.00	0.62	24.00	114.0
13	2026-06-05 18:28:44 CST	1149636041	0	40.44	40.44	1	1	17.00	0.56	25.00	119.0
14	2026-06-05 18:29:25 CST	1149636041	0	35.56	35.56	1	1	15.00	0.64	25.00	108.0
15	2026-06-05 18:30:00 CST	1149636041	0	38.69	38.69	1	1	17.00	0.59	26.00	111.0
16	2026-06-05 18:30:39 CST	1149636041	0	36.00	36.00	1	1	15.00	0.63	25.00	113.0
17	2026-06-05 18:31:15 CST	1149636041	0	37.94	37.94	1	1	17.00	0.60	27.00	132.0
18	2026-06-05 18:31:53 CST	1149636041	0	35.25	35.25	1	1	16.00	0.65	27.00	128.0
19	2026-06-05 18:32:28 CST	1149636041	0	37.56	37.56	1	1	16.00	0.61	26.00	135.0
20	2026-06-05 18:33:06 CST	1149636041	0	37.19	37.19	1	1	16.00	0.62	26.00	132.0
21	2026-06-05 18:33:43 CST	1149636041	0	37.12	37.12	1	1	15.00	0.62	24.00	126.0
22	2026-06-05 18:34:20 CST	1149636041	0	36.19	36.19	1	1	15.00	0.63	25.00	129.0
23	2026-06-05 18:34:56 CST	1149636041	0	35.19	35.19	1	1	16.00	0.65	27.00	132.0
24	2026-06-05 18:35:32 CST	1149636041	0	36.62	36.62	1	1	15.00	0.62	25.00	131.0
25	2026-06-05 18:36:08 CST	1149636041	0	38.56	38.56	1	1	17.00	0.59	26.00	127.0
26	2026-06-05 18:36:47 CST	1149636041	0	35.88	35.88	1	1	15.00	0.64	25.00	133.0
27	2026-06-05 18:37:23 CST	1149636041	0	36.56	36.56	1	1	16.00	0.62	26.00	137.0
28	2026-06-05 18:37:59 CST	1149636041	0	35.12	35.12	1	1	15.00	0.65	26.00	134.0
29	2026-06-05 18:38:34 CST	1149636041	0	39.31	39.31	1	1	17.00	0.58	26.00	137.0
30	2026-06-05 18:39:14 CST	1149636041	0	36.69	36.69	1	1	15.00	0.62	25.00	135.0
31	2026-06-05 18:39:50 CST	1149636041	0	39.31	39.31	1	1	17.00	0.58	26.00	132.0
32	2026-06-05 18:40:30 CST	1149636041	0	36.12	36.12	1	1	16.00	0.63	27.00	138.0
33	2026-06-05 18:41:06 CST	1149636041	0	35.88	35.88	1	1	16.00	0.64	27.00	136.0
34	2026-06-05 18:41:42 CST	1149636041	0	36.19	36.19	1	1	15.00	0.63	25.00	137.0
35	2026-06-05 18:42:18 CST	1149636041	0	35.56	35.56	1	1	15.00	0.64	25.00	137.0
36	2026-06-05 18:42:53 CST	1149636041	0	37.38	37.38	1	1	16.00	0.61	26.00	139.0
37	2026-06-05 18:43:31 CST	1149636041	0	37.25	37.25	1	1	17.00	0.61	27.00	138.0
38	2026-06-05 18:44:08 CST	1149636041	0	37.69	37.69	1	1	16.00	0.61	25.00	138.0
39	2026-06-05 18:44:46 CST	1149636041	0	38.00	38.00	1	1	17.00	0.60	27.00	137.0
40	2026-06-05 18:45:24 CST	1149636041	0	36.06	36.06	1	1	15.00	0.63	25.00	145.0
41	2026-06-05 18:46:00 CST	1149636041	0	38.38	38.38	1	1	17.00	0.60	27.00	144.0
42	2026-06-05 18:46:38 CST	1149636041	0	38.75	38.75	1	1	16.00	0.59	25.00	140.0
43	2026-06-05 18:47:17 CST	1149636041	0	38.62	38.62	1	1	18.00	0.59	28.00	143.0
44	2026-06-05 18:47:55 CST	1149636041	0	38.44	38.44	1	1	16.00	0.60	25.00	147.0
45	2026-06-05 18:48:34 CST	1149636041	0	38.19	38.19	1	1	17.00	0.60	27.00	138.0
46	2026-06-05 18:49:12 CST	1149636041	0	38.50	38.50	1	1	16.00	0.59	25.00	139.0
47	2026-06-05 18:49:51 CST	1149636041	0	38.44	38.44	1	1	17.00	0.60	27.00	144.0
48	2026-06-05 18:50:29 CST	1149636041	0	36.12	36.12	1	1	16.00	0.63	27.00	139.0
49	2026-06-05 18:51:05 CST	1149636041	0	38.25	38.25	1	1	17.00	0.60	27.00	145.0
50	2026-06-05 18:51:43 CST	1149636041	0	38.00	38.00	1	1	16.00	0.60	25.00	136.0
51	2026-06-05 18:52:21 CST	1149636041	0	38.50	38.50	1	1	17.00	0.59	26.00	141.0
52	2026-06-05 18:53:00 CST	1149636041	0	38.19	38.19	1	1	16.00	0.60	25.00	139.0
53	2026-06-05 18:53:38 CST	1149636041	0	38.69	38.69	1	1	17.00	0.59	26.00	139.0
54	2026-06-05 18:54:17 CST	1149636041	0	38.25	38.25	1	1	17.00	0.60	27.00	140.0
55	2026-06-05 18:54:55 CST	1149636041	0	40.00	40.00	1	1	17.00	0.57	26.00	140.0
56	2026-06-05 18:55:35 CST	1149636041	0	38.94	38.94	1	1	17.00	0.59	26.00	139.0
57	2026-06-05 18:56:14 CST	1149636041	0	37.69	37.69	1	1	18.00	0.61	29.00	140.0
58	2026-06-05 18:56:52 CST	1149636041	0	42.31	42.31	1	1	18.00	0.54	26.00	143.0
59	2026-06-05 18:57:34 CST	1149636041	0	41.19	41.19	1	1	19.00	0.56	28.00	141.0
60	2026-06-05 18:58:15 CST	1149636041	0	37.25	37.25	1	1	16.00	0.61	26.00	168.0
61	2026-06-05 18:58:52 CST	1149636041	0	39.38	39.38	1	1	18.00	0.58	27.00	167.0
62	2026-06-05 18:59:32 CST	1149636041	0	39.00	39.00	1	1	17.00	0.59	26.00	166.0
63	2026-06-05 19:00:11 CST	1149636041	0	40.99	40.99	1	1	18.00	0.56	26.00	165.0
64	2026-06-05 19:06:52 CST	1149636041	0	37.06	37.06	1	1	15.00	0.62	24.00	98.0
65	2026-06-05 19:07:29 CST	1149636041	0	34.19	34.19	1	1	15.00	0.67	26.00	127.0
66	2026-06-05 19:08:03 CST	1149636041	0	35.38	35.38	1	1	16.00	0.65	27.00	139.0
67	2026-06-05 19:08:39 CST	1149636041	0	37.56	37.56	1	1	16.00	0.61	26.00	146.0
68	2026-06-05 19:09:16 CST	1149636041	0	35.06	35.06	1	1	15.00	0.65	26.00	148.0
69	2026-06-05 19:09:51 CST	1149636041	0	37.56	37.56	1	1	17.00	0.61	27.00	134.0
70	2026-06-05 19:10:29 CST	1149636041	0	35.00	35.00	1	1	15.00	0.65	26.00	134.0
71	2026-06-05 19:11:04 CST	1149636041	0	38.31	38.31	1	1	17.00	0.60	27.00	134.0
72	2026-06-05 19:11:42 CST	1149636041	0	34.50	34.50	1	1	15.00	0.66	26.00	139.0
73	2026-06-05 19:12:17 CST	1149636041	0	35.69	35.69	1	1	17.00	0.64	29.00	149.0
74	2026-06-05 19:12:52 CST	1149636041	0	36.62	36.62	1	1	16.00	0.62	26.00	146.0
75	2026-06-05 19:13:29 CST	1149636041	0	39.38	39.38	1	1	18.00	0.58	27.00	145.0
76	2026-06-05 19:14:08 CST	1149636041	0	38.81	38.81	1	1	17.00	0.59	26.00	146.0
77	2026-06-05 19:14:47 CST	1149636041	0	38.94	38.94	1	1	18.00	0.59	28.00	145.0
78	2026-06-05 19:15:26 CST	1149636041	0	36.38	36.38	1	1	16.00	0.63	26.00	154.0
79	2026-06-05 19:16:02 CST	1149636041	0	37.75	37.75	1	1	17.00	0.61	27.00	150.0
80	2026-06-05 19:16:40 CST	1149636041	0	35.81	35.81	1	1	15.00	0.64	25.00	138.0
81	2026-06-05 19:17:16 CST	1149636041	0	38.12	38.12	1	1	17.00	0.60	27.00	146.0
82	2026-06-05 19:17:54 CST	1149636041	0	36.62	36.62	1	1	16.00	0.62	26.00	147.0
83	2026-06-05 19:18:31 CST	1149636041	0	38.31	38.31	1	1	18.00	0.60	28.00	145.0
84	2026-06-05 19:19:09 CST	1149636041	0	37.38	37.38	1	1	16.00	0.61	26.00	148.0
85	2026-06-05 19:19:46 CST	1149636041	0	40.25	40.25	1	1	19.00	0.57	28.00	148.0
86	2026-06-05 19:20:27 CST	1149636041	0	36.94	36.94	1	1	16.00	0.62	26.00	146.0
87	2026-06-05 19:21:04 CST	1149636041	0	36.94	36.94	1	1	17.00	0.62	28.00	140.0
88	2026-06-05 19:21:41 CST	1149636041	0	37.50	37.50	1	1	17.00	0.61	27.00	151.0
89	2026-06-05 19:22:18 CST	1149636041	0	35.75	35.75	1	1	16.00	0.64	27.00	147.0
90	2026-06-05 19:22:54 CST	1149636041	0	35.12	35.12	1	1	16.00	0.65	27.00	152.0
91	2026-06-05 19:23:29 CST	1149636041	0	35.94	35.94	1	1	16.00	0.64	27.00	145.0
92	2026-06-05 19:24:05 CST	1149636041	0	34.94	34.94	1	1	16.00	0.65	27.00	142.0
93	2026-06-05 19:24:40 CST	1149636041	0	36.88	36.88	1	1	16.00	0.62	26.00	149.0
94	2026-06-05 19:25:17 CST	1149636041	0	35.81	35.81	1	1	17.00	0.64	28.00	150.0
95	2026-06-05 19:25:52 CST	1149636041	0	35.75	35.75	1	1	17.00	0.64	29.00	144.0
96	2026-06-05 19:26:28 CST	1149636041	0	32.31	32.31	1	1	14.00	0.71	26.00	147.0
97	2026-06-05 19:27:01 CST	1149636041	0	36.44	36.44	1	1	18.00	0.63	30.00	147.0
98	2026-06-05 19:27:37 CST	1149636041	0	33.94	33.94	1	1	16.00	0.67	28.00	148.0
99	2026-06-05 19:28:11 CST	1149636041	0	31.86	31.86	1	1	16.00	0.72	30.00	148.0
